"Year"	"P"	"R"	"L"	"G"	"F"	"T"	"Cluster"	"Silhouette"	"Silhouette_neighbor"
2006	0.145365168539326	0.415329942537637	0.105337078651685	0	1	0	"F+"	0.142038288997925	"P+ L-"
2006	0.133024487094639	0.0513526536793557	0.29119788219722	0.0534688466637207	0.0695897023330652	0.000932835820895522	"Unnamed"	0.129717211954688	"P+ L-"
2006	0.0344335368205292	0.154166304805296	0.81715039050796	0.374992778399273	0.765258316821702	0.17299419715765	"F+"	0.0273485281768465	"L+ G+"
2006	0.0721479668674699	0.0437579818883881	0.489646084337349	0.272279885468862	0.419932525621167	0	"L+ G+"	-0.0261446757783333	"Unnamed"
2006	0.132147317756725	0.127495870706057	0.447619337740275	0.438241581213792	0.297770081634095	0.341719305888332	"L+ G+ T+"	0.0640545850435017	"L+ G+"
2006	0.0777234225196248	0.67337340797863	0.870378222962281	0	0.918912200457393	0.004527402700556	"R+ F-"	0.0364570632310718	"F+"
2006	0.060102741908756	0.00828317846585175	0.52319341228059	0.0698975532126517	0.562977695695411	0	"F+"	0.136654965388213	"Unnamed"
2006	0.0914133826418583	0.0712486947976168	0.358430602103317	0.0604214267580604	0.685293060050342	0.0743643184660275	"F+"	0.35635771482714	"Unnamed"
2006	0.241123991017782	0.201631549099158	0.378709716574619	0.285075773447866	0.191043083900227	0.452361846680576	"L+ G+ T+"	0.217869386852947	"P+ L-"
2006	0.111885245901639	0.0975866356361781	0.557377049180328	0.463664956133091	0.291731501851156	0.394731926022791	"L+ G+ T+"	0.164450189081735	"L+ G+"
2006	0.115303379416283	0.156770676192915	0.362039170506912	0.4967815221507	0.211944414978254	0	"L+ G+"	0.303928967012678	"Unnamed"
2006	0.0958714949978864	0.0420204833950738	0.755333239396928	0.2458959437158	0.494967632188253	0	"L+ G+"	0.0321303015479617	"Unnamed"
2006	0.132795993426716	0.112581074696104	0.492213788246342	0.267441860465116	0.319625675497562	0.0157743060822084	"L+ G+"	0.00524857258130143	"Unnamed"
2006	0.108041237113402	0.068629333384965	0.763298969072165	0.719178082191781	0.406313547012685	0	"L+ G+"	0.401840916932641	"Unnamed"
2006	0.198387005168399	0.128949948301724	0.498608507979781	0.0232352290329719	0.808278737343657	0	"F+"	0.310340387293022	"P+ L-"
2006	0.100669307471657	0.114930057178732	0.271411009424942	0.000187441424554827	0.453984819734345	0	"F+"	0.0183644740254935	"Unnamed"
2006	0.105522964658749	0.0680538256946264	0.59883388181428	0.356938073394495	0.105052552953102	0.0724505830783227	"L+ G+"	0.125260225811629	"Unnamed"
2006	0.189293801674654	0.0450170985321902	0.237953552056454	0.139121898982688	0.710792437514797	0.0385369256835321	"F+"	0.155995139691885	"P+ L-"
2006	0.0819286554292434	0.0143838555605189	0.622108976871815	0.00823045267489712	0.376569037656904	0	"Unnamed"	0.291168261344644	"F+"
2006	0.128058817074509	0.124351170693454	0.398880719850763	0.411916264090177	0.287984261501211	0	"L+ G+"	0.248861086274665	"Unnamed"
2006	0.18494945713216	0.0466892926751843	0.400973418195432	0.258229021789523	0.194603009859886	0	"P+ L-"	-0.0369897181772064	"Unnamed"
2006	0.110173958882446	0.0770060628411973	0.395185380425233	0	0.0895600104139547	0	"Unnamed"	0.337485311561843	"P+ L-"
2006	0.0472446328456174	0.0949521322889469	0.819567892793655	0.35079950799508	0.360072014402881	0.642363463883995	"L+ G+ T+"	0.370516302493364	"L+ G+"
2006	0.144107744107744	0.0354008602077172	0.42020202020202	0.308988764044944	0.155913978494624	0	"L+ G+"	-0.0223403359214905	"Unnamed"
2006	0.0933088488465511	0.0924658752184869	0.357511764030759	0.023207119176409	0.397405495885061	0	"Unnamed"	0.170095125257123	"F+"
2006	0.065115096019331	0.0169036663801086	0.444232481241257	0.198459280997799	0.704918032786885	0	"F+"	0.323816160245582	"Unnamed"
2006	0.104241401139481	0.0647463370771072	0.580080185693184	0.0774223458507186	0.729451100585121	0	"F+"	0.349466908930485	"Unnamed"
2006	0.0519178612940721	0.246907283417104	0.242154203796978	0.00204081632653061	0.93854748603352	0	"F+"	0.360865269370856	"P+ L-"
2006	0.0985654789449329	0.141880299478029	0.412154866574117	0.456580635961785	0.242016806722689	0.23087790110999	"L+ G+"	0.238499038877453	"Unnamed"
2006	-0.100071479628306	0.068679654319205	0.433523945675482	0.497782002534854	0.263716814159292	0.0491901619676065	"L+ G+"	0.135533818289455	"Unnamed"
2006	0.160550458715596	0.25363185601995	0.202608599535758	0.00701995870612526	0.190016825574874	0	"P+ L-"	0.22476564287079	"R+ F-"
2006	0.0550888529886914	0.0928476023280433	0.504523424878837	0.325489333626567	0.252027315407597	0.0260400127024452	"L+ G+"	0.0782134503827548	"Unnamed"
2006	0.152237926972909	0.141289636443325	0.370435806831567	0.00163436843334112	0.132066033016508	0	"P+ L-"	-0.0749633940125406	"Unnamed"
2006	0.0597181008902077	0.0535423032085483	0.344584569732938	0	0.770251065845571	0	"F+"	0.395772908027837	"Unnamed"
2006	0.144480291766026	0.119409064333311	0.0375929302847524	0.00737847222222222	0.934237829209896	0.0312058740468794	"F+"	0.213248359736079	"P+ L-"
2006	0.0288333015084972	0.137093151751206	0.520336070269238	0.448397013614405	0.314729041222788	0	"L+ G+"	0.316518672400874	"Unnamed"
2006	0.106272838002436	0.0876462298578896	0.370584652862363	0.0390516039051604	0.628763866877971	0	"F+"	0.311903815554996	"Unnamed"
2006	0.136740331491713	0.108808019346069	0.319060773480663	0.031434184675835	0.586998087954111	0.0573613766730402	"F+"	0.213983599420382	"P+ L-"
